Need,Count
Job Search Techniques,2
Job Search/Placement * Refugees/Entrants/Asylees,2
Job Training Expense Assistance,2
Job Training Formats * Nursing Assistants,2
Juvenile Boot Camps,2
Juvenile Justice Courts,2
Juvenile Probation,2
Kinship Care,2
Kinship Caregivers,2
Large Appliance Pickup/Recycling Programs,2
Lead Poisoning,2
Legal Information Lines * Housing Issues,2
Legal Representation * Older Adults,2
Licensed Professional Counselor Referrals,2
Lifeguard Training,2
Local Government Complaints/Ombudsman Offices,2
Local/Regional Newspapers,2
Long Term Care Ombudsman Programs,2
Long Term Case/Care Management * AIDS/HIV * Cancer,2
Long Term Case/Care Management * Veterans,2
Low Cost Building Materials/Supplies,2
Low Income/Subsidized Private  * Homeless Veterans,2
Massage Therapist Complaints,2
Maternity Clothing,2
Medicaid Fraud Reporting,2
Medication Assisted Maintenance Treatment for Opioid Addiction,2
Mental Health Associations,2
Music Instruction,2
Native American General Assistance,2
Natural Family Planning,2
Natural Gas Service Connection/Repair,2
Nonprofit/Philanthropic Associations,2
Nonpublic Special Schools,2
Older Adult Volunteers,2
Orthodontics,2
Orthopedic/Orthotic Devices,2
Outpatient Drug Detoxification * Opiate Use Disorder,2
Outreach Programs * Mexican Community,2
Oxygen,2
Oxygen Concentrators,2
Parent Counseling,2
Parent Support Groups * Children and Youth With Disabi,2
Parent/Child Activity Groups,2
Paternity Suits,2
Peer Counseling * Mental Health Issues,2
Pension Benefits Assistance,2
Pets,2
Pharmacies that Deliver,2
Physical Disabilities,2
Physical Fitness Referrals,2
Poison Control,2
Post Pregnancy Shelter/Transitional Housing,2
Primary Schools,2
Prisoner Locator Services,2
Pro Bono Legal Aid Volunteer Opportunities,2
Probate Petition Filing Offices,2
Prosthetic Devices,2
Psychiatric Day Treatment,2
Psychologist Referrals,2
Psychologists,2
Public Access Computers/Tools,2
Public Defender * Chronic/Severe Mental Illness,2
Reading Disorder,2
Recycled Product Sales,2
Red Cross Disaster Service Centers,2
Rent Payment Assistance * AIDS/HIV,2
Respite Care * Mental Illness/Emotional Disab,2
Reverse Mortgage Programs,2
Runaway/Homeless Youth Helplines,2
School Based Teen Parent/Pregnant Teen Programs,2
School District Police,2
School Readiness Programs,2
Service Cost Payment Assistanc * Abortion Issues,2
Sewer System Complaints,2
Sidewalk/Road Corridor Use Permits,2
Sign Language Interpretation,2
Single Fathers,2
Social Security Fraud Reporting,2
Social Workers,2
Special Care Inpatient Units,2
Special Education Plan Development,2
Specialized Information and Re * Autism,2
Specialized Information and Re * Breast Cancer,2
Specialized Information and Re * Families of Veterans,2
Specialized Information and Re * Refugees/Entrants/Asylees,2
Specialized Information and Re * Utility Issues,2
Specialized Information and Re * Veterans,2
State Government Agencies,2
State Government Agencies * Housing Issues,2
State Legislature Offices,2
Summer Employment,2
Tax Foreclosure Assistance,2
Tax Preparation Assistance,2
Taxi Services,2
Teenage Parents,2
Telephone Reassurance,2
Tourist Information,2
Traffic Bulletins/Information,2
Traffic Signals,2
Transitional Case/Care Managem * At Risk Youth,2
Transitional Case/Care Managem * Refugees/Entrants/Asylees,2
Transitional Case/Care Managem * Teenage Parents,2
Transitional Housing/Shelter * Teenage Parents,2
Transitional Housing/Shelter * Veterans,2
Undesignated Temporary Financi * College/University Students,2
Unemployment Benefits Fraud Reporting,2
United States House of Representatives Offices,2
Utility Issues,2
Veteran Employment Programs,2
Veteran Home Loans,2
Voting Records,2
Water Service Complaints,2
Wellness Programs,2
WIOA Programs,2
Workshops/Symposiums * Domestic Violence Issues,2
Wound Clinics,2
Abandoned Building Inspection,1
Abortion Issues,1
Acting Instruction,1
Adolescent/Youth Counseling * Juvenile Offenders,1
Adoption and Foster/Kinship Care Support Groups,1
Adult Children of Alcoholics Support Groups,1
Adult Day Program Centers * Adults With Disabilities * Health Issues,1
Adult Parental Loss Support Groups,1
Adult Sex Offenders,1
Advocacy * Children and Youth With Disabi,1
Advocacy * Developmental Disabilities,1
Advocacy * Veterans,1
African American Community,1
Aging/Older Adult Support Groups,1
AIDS/HIV Issues,1
Air Fare,1
Air Force Personnel,1
Alcohol Related Crisis Intervention,1
Alcohol Use Disorder,1
Alcohol Use Disorder Support G * Homeless Men,1
Alternative Medicine Practitioners,1
Animal Euthanasia Services,1
Animal Shelter Attendant Volunteer Opportunities,1
Applied Behavioral Analysis,1
Aquatic Therapy,1
Artist Relief Funds,1
Asbestos Removal,1
Assistive Technology Equipment Repair,1
Assistive Technology Information,1
Assistive Technology Training,1
At Risk/Homeless Housing Relat * AIDS/HIV,1
At Risk/Homeless Housing Relat * Hepatitis,1
At Risk/Homeless Housing Relat * Homeless People,1
Automobile Complaints,1
Automobile Insurance Payment A * Military Reserves,1
Automobile Payment Assistance * Military Reserves,1
Automotive Repair and Maintena * Veterans,1
Baby Clothing/Diaper Donation Programs,1
Basketball,1
Beer/Liquor Licenses and Permits,1
Bereaved Parent Support Groups,1
Bicycle Repair,1
Blood Pressure Monitors,1
Blood Pressure Screening,1
Body Image Education,1
Braille and Tactile Aids,1
Breast Care Centers,1
Buddy Programs,1
Buddy Programs * Breast Cancer,1
Buddy Programs * Families/Friends of People Wit,1
Building Code Violations Consultation,1
Building Materials/Supplies Donation Programs,1
Burglar Alarm Permits,1
Burial Services,1
Business Plan Development,1
Camp Accreditation,1
Car Sharing Programs,1
Career Counseling * Veterans,1
Career Entrance Examination Pr * Nurses/Nursing Support Personn,1
Career Entrance Examination Preparation,1
Career Entrance Examinations,1
Caregiver Counseling * Alzheimer's Disease,1
Caregiver/Care Receiver Suppor * Alzheimer's Disease,1
Caregiver/Care Receiver Suppor * Parkinson's Disease,1
Carrier/Predictive Genetic Testing,1
Case/Care Management Referrals * At Risk Families,1
Catholic Community,1
Certificates/Forms Assistance * Immigrants,1
Certificates/Forms Assistance * Lawful Permanent Residents,1
Certificates/Forms Assistance * Student Financial Aid Issues,1
Chemicals Information,1
Chemotherapy/Radiation Therapy,1
Child Abuse Counseling,1
Child Abuse Medical Evaluations,1
Child and Adolescent Psychiatry,1
Child Development Classes,1
Child Labor Laws,1
Christmas Meals * Older Adults,1
Chronic/Severe Mental Illness,1
City Offices of Emergency Services,1
City/Town Clerk Offices,1
Clinical Trials Information,1
Codependents Anonymous Support Groups,1
Comfort Items for Distressed Adults/Children,1
Commercial Graffiti Removal,1
Community Crime Prevention Programs,1
Community Gardening,1
Community Housing Development Organizations,1
Comprehensive Family Law Services,1
Comprehensive Information and  * Homeless Veterans,1
Computer Donation Programs,1
Construction/Building Inspectors,1
Continuing Education * Nonprofit Organization Issues,1
Coroner Services,1
Correctional Facility Complaints,1
Correctional Ombudsman Programs,1
Cosmetics Complaints,1
Counseling for Children Affected by Domestic Violence,1
County Board of Supervisors Offices,1
County Departments/Offices,1
Court Community Service Referral Programs,1
CPAP Machines,1
Credit Report Dispute Assistance,1
Cremation Services,1
Crime Victim Accompaniment Services,1
Crime Victim/Witness Counseling,1
Crisis Intervention Volunteer Opportunities,1
Daily Living Aid Donation Programs,1
DBA Registration,1
Deafness,1
Debt Consolidation Service Complaints,1
Debt/Overspending Support Groups,1
Delivery/Childbirth,1
Delousing/Body Parasite Treatment,1
Dementia Evaluation,1
Dental Care Volunteer Opportunities,1
Dental Screening,1
Dentist Referrals,1
Dentist/Dental Support Personnel Complaints,1
Departments of Transportation/Special Districts,1
Dialysis Centers,1
Directory/Resource List Public * Homeless Men,1
Directory/Resource List Public * Older Adults,1
Directory/Resource List Publication,1
Disability Awareness Programs,1
Disability Benefit Recipients,1
Disability Related Parenting P * Autism Spectrum Disorders,1
Disability Related Parenting Programs,1
Disaster Preparedness Partnerships,1
Disaster Recovery Centers,1
Disaster Related Monetary Fund Management,1
Disaster Relief/Recovery Organizations,1
Disaster/Emergency Issues,1
Disease/Disability Information * Neurological Impairments,1
Driver License Reinstatement Assistance,1
Driver License Testing Sites,1
Driver Licenses * Veterans,1
Drug Offenders,1
Drug Use Disorder Education/Pr * Opioid Use Disorder,1
Drug Use Disorder Support Grou * Homeless Men,1
Dual Enrollment Programs,1
Early Literacy Development Programs,1
Eating Disorders Treatment,1
Education Discrimination Assistance,1
Elder Abuse Counseling,1
Elder Abuse Prevention,1
Elder Abuse Support Groups,1
Election Identification Certificates,1
Electric Scooters,1
Electric Service Payment Assis * Cancer,1
Electric Service Payment Assis * Disability Benefit Recipients,1
Electric Service Payment Assis * Single Mothers,1
Emergency Communications,1
Emergency Contraception,1
Emergency Dental Care,1
Employee Assistance Programs,1
Employee Fraud Reporting,1
Employer Identification Numbers,1
Endodontics,1
Energy Information Lines,1
Environmental Hazards Reporting,1
Equestrian Therapy,1
Equestrian Therapy * Abused Children,1
Errand Running/Shopping Assist * AIDS/HIV,1
Errand Running/Shopping Assist * Cancer,1
Ethnic Oriented Multipurpose C * Jewish Community,1
Evacuation Center/Shelter Assistance Volunteer Opportunities,1
Event Coordination Volunteer Opportunities,1
Ex-Offender Counseling,1
Families With Children,1
Families/Friends of Sexual Assault/Abuse Survivors,1
Family Counseling * Families/Friends of Individual * Families/Friends of Individual,1
Fathers,1
Fax Machines,1
Federal Child Tax Credit Information,1
Film Production/Distribution,1
Fire Control/Extinction,1
Fire Safety Inspections,1
Fish and Game Wardens,1
Food Banks/Food Distribution Warehouses,1
Food Poisoning Investigation,1
Foster Care Legal Services,1
Foster Homes for Dependent Children,1
Foster Parent/Family Recruitment,1
Friendly Telephoning,1
Funding * Homeless People,1
Funeral Preplanning Services,1
Funeral Services,1
Gang Programs,1
Gas Service Payment Assistance * National Guard Personnel,1
Gay/Lesbian/Bisexual/Transgender Support Groups,1
Gender Identity Counseling,1
General Crime Victim Assistanc * Immigrants,1
General Dentistry * AIDS/HIV,1
General Dentistry * Veterans,1
General Disaster Information,1
General Health Education Progr * Hispanic/Latino Community,1
General Mental Health Informat * Mental Illness/Emotional Disab,1
General Obstetrics,1
General Ophthalmology,1
General Physical Examinations * Children,1
General Relief,1
General Sexuality/Reproductive Health Education,1
General Yard Work * AIDS/HIV,1
General Yard Work * Older Adults,1
Geriatric Counseling,1
Geriatric Medicine,1
Geriatric Psychiatry,1
Glasses Donation Programs,1
Glaucoma Screening,1
Grandparent Rights,1
Guardians ad Litem,1
Gymnasiums,1
Hard of Hearing,1
Health Care Discount Enrollment Programs,1
Health Care Discrimination Ass * AIDS/HIV,1
Health Care Discrimination Assistance,1
Health/Disability Related Supp * Breast Cancer,1
Hearing Augmentation Aid Donation Programs,1
Hearing Loss,1
Heart Disease,1
Hemophilia,1
Hispanic/Latino Community,1
Historic Landmark Preservation,1
Historical Societies,1
Holiday Cash Grants,1
Holiday Gifts/Toys * Older Adults,1
Home Based Mental Health Services,1
Home Building Information,1
Home Health Aide Services * Physical Disabilities,1
Home Health Care,1
Home Rehabilitation Grants * Physical Disabilities,1
Home Sanitation,1
Home Visit Volunteer Opportunities,1
Home/Community Care Financing  * Intellectual Disabilities,1
Homeless Drop In Centers,1
Homeless Transportation Programs,1
Homelessness  Advocacy Groups * Homelessness Issues,1
Homesteading Assistance,1
Homework Help Programs,1
Hospice Facilities * AIDS/HIV,1
Hospital Based Outpatient Services,1
Household Tools/Equipment,1
Housing Advocacy Groups,1
HPV Immunizations,1
Immigration Detention Centers,1
In Person Assister Programs * AIDS/HIV,1
Incorporation Assistance * Nonprofit Organization Issues,1
Independent Living Skills Inst * Mental Illness/Emotional Disab,1
Individual Counseling * Musicians,1
Individual Development Accounts,1
Infants/Toddlers,1
Informal Caregivers,1
Inpatient Rehabilitation * Neurological Impairments,1
Insurance Fraud Reporting,1
International Travel Advisories,1
Job Corps,1
Job Information * Ex-Offenders,1
Job Information * TANF Recipients,1
Job Interview Training,1
Job Readiness * Ex-Offenders,1
Job Retraining * Laid Off Workers,1
Job Search Resource Centers * Older Adults,1
Job Training Formats * Electricians,1
Job Training Formats * Heating/Air Conditioning/Refri,1
Junk Mail/Email Opt Out Assistance,1
Jury Selection,1
Juvenile Delinquency Prevention,1
Juvenile Offenders,1
Kitchen Modification Services,1
Land Deeds/Titles,1
Land Records,1
Laws/Statutes Copies,1
Learning Disabilities,1
Legal Counseling * AIDS/HIV,1
Legal Counseling * Nonprofit Organization Issues,1
Legal Information Lines * Adult Sexual Assault Survivors,1
Legal Representation * Detainees,1
Legal Representation * Immigrants,1
Licensed Vocational Nurses,1
Life Skills Education * Foster Children,1
Literacy Volunteer Opportunities,1
Loan Counseling,1
Local Bicycle Transportation,1
Local Rail Services,1
Long Term Care Insurance,1
Long Term Case/Care Management * Alzheimer's Disease,1
Long Term Case/Care Management * Asperger's Syndrome,1
Long Term Case/Care Management * Bipolar Disorder,1
Long Term Case/Care Management * Cancer * Hemophilia * Leukemia,1
Long Term Case/Care Management * Developmental Disabilities * Functional Disabilities,1
Long Term Case/Care Management * Families of Military Personnel,1
Long Term Case/Care Management * Major Depression,1
Long Term Case/Care Management * Schizophrenia,1
Lost and Found,1
Low Interest Loans,1
Lung Disease,1
Magnetic Resonance Imaging,1
Manufactured/Mobile Home Park Inspection,1
Marriage and Relationships Support Groups,1
Mass Care Shelters,1
Maternal and Fetal Medicine,1
Meal Delivery Volunteer Opportunities,1
Meal Preparation/Serving Volunteer Opportunities,1
Mechanical Permits,1
Mediation,1
Medicaid Information/Counseling,1
Medical Appointments Transport * Functional Disabilities,1
Medical Appointments Transport * Medicaid Recipients,1
Medical Appointments Transport * People With Disabilities/Healt,1
Medical Care Expense Assistanc * Youth,1
Medical Information Lines * Multiple Sclerosis,1
Medication Assisted Maintenance Treatment for Opioid Use Disorders,1
Meeting Space,1
Mental Health Halfway Houses,1
Mental Health Related Support  * Chronic/Severe Mental Illness,1
Mental Health Related Support  * Perinatal/Postpartum Depressio,1
Mercury Products/Materials Recycling,1
Minority Business Development,1
Mobile Dental Care,1
Monitored Child Visitation Exchange,1
Monitoring Equipment Donation Programs,1
Mortgage Payment Assistance * National Guard Personnel,1
Multiple Disabilities,1
Muscular Dystrophy,1
Musicians,1
Needle Exchange/Distribution Programs,1
Neglected Children,1
Neurological Impairments,1
Neurology * Amyotrophic Lateral Sclerosis,1
New Driver Training,1
Nighttime Child Care,1
Nonprofit Corporation Development,1
Nonpublic Special Schools * Learning Disabilities,1
Nurse Complaints,1
Nutrition Education * Food Stamps/SNAP Recipients,1
Occupation Specific Job Training,1
Online Databases,1
Open Pharmacies,1
Opiate Use Disorder,1
Orthopedic Surgery,1
Outpatient Clinic Complaints,1
Outpatients,1
Outreach Programs * AIDS/HIV,1
Overspenders,1
Paratransit Driver Volunteer Opportunities,1
Parent/Infant Exercise Classes,1
Parenting Helplines,1
Parenting Materials,1
Parenting Skills Classes * Pregnant Teens,1
Parents Without Custody,1
Parkinson's Disease,1
Parole Related Crime Victim Services,1
Parolees,1
Pastoral Counseling/Chaplaincy Services,1
Patient Rights Assistance,1
Pediatric Allergy Specialty,1
Peer Counseling * Cancer,1
Perinatal Alcohol Use Disorder Treatment,1
Personal Care * Health Issues,1
Personal Care * Older Adults,1
Personal Care Aides,1
Pertussis,1
Pet Assisted Therapy,1
Pet Boarding/Sitting Services,1
Pet Cemeteries,1
Physical Activity and Fitness Education/Promotion,1
Physical Medicine and Rehabilitation,1
Physical Therapists,1
Play Therapy,1
Police/Community Relations Groups,1
Pool Sanitation,1
Postabortion Support Groups,1
Postpartum Care,1
Pregnant Teens,1
Premarital Counseling,1
Prescription Expense Assistanc * AIDS/HIV,1
Pretrial Service Agencies,1
Private Day Schools,1
Private Therapy Practices,1
Probation/Parole Violations Sanctions Centers,1
Propane/Home Heating Oil Suppliers,1
Proposal/Grant Writing Services,1
Prostate Cancer,1
Psychiatric Rehabilitation,1
Psychological Associations,1
Psychotherapy/Psychoanalysis,1
Public Charities,1
Public Defender * Juvenile Offenders,1
Public Special Schools,1
Rapid Re-Housing Programs,1
Real Estate Sales Personnel,1
Realtor Complaints,1
Regional Economic Development,1
Rehabilitative/Habilitative Medicine Associations,1
Relationship Workshops,1
Relocation Assistance,1
Remedial Reading,1
Rent Payment Assistance * Cancer,1
Rent Payment Assistance * Homeless People,1
Residential Camps,1
Residential Lift Equipment,1
Respite Care * Children and Youth With Disabi,1
Return to Education Support,1
Rights Counseling for Undocumented People,1
Road Closures Bulletins,1
Roadside Landscape Maintenance,1
Rooming/Boarding Houses * Individuals Recovering from a ,1
Rooming/Boarding Houses * Men,1
Rooming/Boarding Houses * Older Adults * Women,1
Rooming/Boarding Houses * Single Women,1
RSVP Program,1
Runaway Prevention Programs,1
Safer Sex Education,1
Sales Tax Information,1
Santa Claus Appearances,1
Schizophrenia,1
Scholarships * Mental Health Issues,1
School Based Integrated Services,1
School to Adult Life Transition Services,1
Self Esteem Workshops,1
Senior Center Bus Services,1
Separation/Divorce Support Groups,1
Sex Offender Registration/Community Notification,1
Sexual Assault Hotlines,1
Sexual Assault Shelters,1
Sexual Orientation Counseling,1
Sexual/Love Addiction Support Groups,1
Sexually Transmitted Disease,1
Shoes * Children,1
Shredders,1
Sidewalk Repair,1
Sign Language Instruction,1
Small Business Health Options Programs,1
Smoking Addiction Support Groups,1
Smoking/Nicotine Addiction Issues,1
Soccer,1
Social Phobia,1
Special Interest Camps,1
Specialized Information and Re * Caregiver Issues,1
Specialized Information and Re * Ex-Offenders,1
Specialized Information and Re * Homebuyers,1
Specialized Information and Re * Housing Issues,1
Specialized Information and Re * Informal Caregivers,1
Specialized Information and Re * Musicians,1
Specialized Information and Re * Native American Community,1
Specialized Information and Re * People At Risk of Foreclosure,1
Specialized Information and Re * Wildlife Safety Education,1
Specialized Telecommunications Equipment,1
Spinal Cord Rehabilitation,1
Spouse/Intimate Partner Abusers,1
State Institutions for Individuals With Developmental Disabilities,1
State Police,1
State/Local Health Insurance Information/Counseling,1
Sterilization,1
Stoves,1
Street Cleaning,1
Street Flooding/Drainage,1
Street Vendor Permits,1
Stroke Rehabilitation,1
Student Disability Services,1
Student Financial Aid Offices,1
Student Health Programs,1
Students With Disabilities,1
Subject Specific Public Awaren * Children's Issues,1
Subject Specific Public Awareness/Education,1
Substance Use Disorder Issues,1
Substance Use Disorder Referrals,1
Substance Use Disorder Service Provider Complaints,1
Substance Use Disorders,1
Suicide Prevention Programs,1
Supervised Living for Older Yo * Females,1
Support Orders,1
Supported Living Services for  * Deaf-Blindness,1
TANF Recipients,1
Tattoo Removal,1
Tax Preparation Software,1
Taxpayer Advocate Services,1
Technical/Trade Schools,1
Telephone Book Recycling,1
Telephone Facilities,1
Telephone Service Payment Assi * AIDS/HIV,1
Terminal Illness,1
Test Proctoring,1
Thyroid Function Tests,1
Time/Temperature/Weather Information Lines,1
Tiny Tots,1
Towing Service Complaints,1
Toy/Game Donation Programs,1
Traffic Ticket Fine Collection Offices,1
Transitional Case/Care Managem * Homeless Veterans,1
Transitional Case/Care Managem * Mental Health Issues,1
Transitional Case/Care Managem * Single Mothers,1
Transitional Housing/Shelter * Dual Diagnosis,1
Transitional Residential Subst * Males,1
Transportation Issues,1
Trauma Care,1
Travel Training for Older Adults/People With Disabilities,1
Truancy Counseling,1
Tuberculosis,1
Tuition Assistance,1
Undesignated Home Barrier Remo * Physical Disabilities,1
Undesignated Temporary Financi * Cancer,1
Undesignated Temporary Financi * Sickle Cell Anemia,1
Undesignated Temporary Financi * Veterans,1
Unemployed Individuals,1
Urgent Care Centers,1
Vacuum Cleaners,1
Veteran Education Benefits,1
Veteran Reintegration Counseling,1
Victims of Accidents Caused by Impaired Drivers,1
Visiting Physician Services,1
Visual Artists,1
Volunteer Recruitment/Placemen * Older Adults,1
Voting Rights Protection,1
Walking Programs,1
Water Storage/Distribution Infrastructure Services,1
Watershed Conservation,1
Weather Advisories,1
Websites * Drug Use Disorder Issues,1
Weed Abatement/Brush Control,1
Weight Loss Assistance,1
West Nile Virus Control,1
Widow/Widower Support Groups,1
Work Registration,1
Workers Compensation Benefits Assistance,1
Workshops/Symposiums,1
Workshops/Symposiums * First Time Homeowners,1
Workshops/Symposiums * Human/Social Services Issues,1
Workshops/Symposiums * Older Adults,1
Worship Services,1
Yard Waste Recycling,1
Yoga,1
Youth Centers,1
Youth Community Service Programs,1
(blank),
